Date,Market,Type,Price,Amount,Total,Fee,Fee Coin
2018-03-09 02:46:25,XMRBTC,BUY,0.028769,1.143,0.032882967,0.0191543,BNB
2018-03-09 02:45:52,LTCBTC,SELL,0.018638,1.76,0.03280288,0.01910531,BNB
2018-03-08 21:23:19,LTCBTC,BUY,0.01905,1.76,0.033528,0.01898658,BNB
2018-03-08 21:19:23,XMRBTC,SELL,0.030219,1.111,0.033573309,0.01904005,BNB
2018-03-07 19:22:08,XRPBTC,BUY,0.00008457,119,0.01006383,0.00565346,BNB
2018-03-07 19:20:17,ADABTC,SELL,0.00002419,43,0.00104017,0.00058367,BNB
2018-03-07 19:20:17,ADABTC,SELL,0.00002419,375,0.00907125,0.00508474,BNB
2018-03-07 18:11:35,XMRBTC,BUY,0.033112,1.111,0.036787432,0.02022718,BNB
2018-03-07 18:10:20,LTCBTC,SELL,0.018401,2,0.036802,0.02008295,BNB
2018-03-02 20:23:06,TRXBTC,BUY,0.00000471,233,0.00109743,0.00058642,BNB
2018-02-20 13:14:23,XRPBTC,BUY,0.00009563,154,0.01472702,0.00235038,BNB
2018-02-19 16:10:02,ETCBTC,SELL,0.003517,0.03,0.00010551,0.00001002,BNB
2018-02-19 16:10:01,ETCBTC,SELL,0.003517,1.29,0.00453693,0.00068273,BNB
2018-02-19 16:10:00,ETCBTC,SELL,0.003517,2.87,0.01009379,0.00151621,BNB
2018-02-18 07:17:04,ETCBTC,BUY,0.003103,2.82,0.00875046,0.00126508,BNB
2018-02-18 07:16:16,ETCBTC,BUY,0.003103,1.39,0.00431317,0.00062313,BNB
2018-02-18 07:09:49,TRXBTC,BUY,0.00000478,250,0.001195,0.00017271,BNB
2018-02-18 07:08:16,LTCBTC,SELL,0.020664,0.18,0.00371952,0.0005384,BNB
2018-02-18 07:08:16,LTCBTC,SELL,0.020663,0.51,0.01053813,0.00151908,BNB
2018-02-15 22:30:36,ADABTC,BUY,0.0000391,418,0.0163438,0.00228824,BNB
2018-02-15 22:29:01,XRPBTC,BUY,0.00011128,31,0.00344968,0.0004821,BNB
2018-02-15 22:28:57,XRPBTC,BUY,0.00011128,77,0.00856856,0.00119716,BNB
2018-02-15 22:28:51,XRPBTC,BUY,0.00011128,97,0.01079416,0.00150866,BNB
2018-02-15 22:26:37,TRXBTC,BUY,0.00000466,2010,0.0093666,0.0013127,BNB
2018-02-15 22:25:50,XLMBTC,BUY,0.00004404,205,0.0090282,0.00126566,BNB
2018-02-15 22:21:34,ETCBTC,SELL,0.003406,0.02,0.00006812,0.00000934,BNB
2018-02-15 22:21:26,ETCBTC,SELL,0.003406,9.85,0.0335491,0.00469917,BNB
2018-02-15 22:21:24,ETCBTC,SELL,0.003406,7.03,0.02394418,0.00335388,BNB
2018-02-15 19:32:57,ETCBTC,BUY,0.003304,16.06,0.05306224,0.00736522,BNB
2018-02-15 19:32:26,ETCBTC,BUY,0.003304,0.84,0.00277536,0.0003854,BNB
2018-02-15 19:15:35,LTCBTC,SELL,0.021599,1.24,0.02678276,0.00370747,BNB
2018-02-15 19:15:33,LTCBTC,SELL,0.021599,1.05,0.02267895,0.00314349,BNB
2018-02-15 19:14:44,LTCBTC,SELL,0.021599,0.29,0.00626371,0.00086916,BNB
2018-02-15 18:56:41,LTCBTC,BUY,0.021704,2.58,0.05599632,0.00775606,BNB
2018-02-15 18:35:31,ADABTC,SELL,0.00003809,170,0.0064753,0.00088527,BNB
2018-02-15 18:35:30,ADABTC,SELL,0.00003809,231,0.00879879,0.0012047,BNB
2018-02-15 18:34:42,XRPBTC,SELL,0.00011106,200,0.022212,0.00303306,BNB
2018-02-15 18:34:04,XLMBTC,SELL,0.00004413,204,0.00900252,0.00122928,BNB
2018-02-15 18:18:58,TRXBTC,SELL,0.00000458,794,0.00363652,0.00049659,BNB
2018-02-15 18:18:55,TRXBTC,SELL,0.00000458,1310,0.0059998,0.00082766,BNB
2018-02-15 02:24:47,TRXBTC,BUY,0.00000474,2104,0.00997296,0.00138178,BNB
2018-02-15 02:12:49,TRXBTC,SELL,0.00000475,2099,0.00997025,0.00137835,BNB
2018-02-14 15:31:09,BNBBTC,BUY,0.0010438,0.01,0.000010438,0.0000015,BNB
2018-02-14 15:31:05,BNBBTC,BUY,0.0010438,2.15,0.00224417,0.0003225,BNB
2018-02-14 15:30:20,XLMBTC,BUY,0.000048,205,0.00984,0.0615,XLM
2018-02-14 15:26:56,TRXBTC,BUY,0.000005,2100,0.0105,0.63,TRX
2018-02-14 15:04:39,ETHBTC,SELL,0.096515,0.025,0.002412875,0.00000072,BTC
2018-02-14 15:04:39,ETHBTC,SELL,0.096515,0.001,0.000096515,0.00000003,BTC
2018-02-14 15:04:38,ETHBTC,SELL,0.096515,0.1,0.0096515,0.0000029,BTC
2018-02-14 15:04:10,ETHBTC,BUY,0.0965,0.122,0.011773,0.0000366,ETH
2018-02-14 14:56:23,LTCBTC,SELL,0.022198,1,0.022198,0.00000666,BTC
2018-02-05 18:34:54,ADAETH,BUY,0.00044515,101,0.04496015,0.101,ADA
2018-02-05 03:53:05,ETHBTC,BUY,0.102425,0.05,0.00512125,0.00005,ETH
2018-02-05 03:49:27,SALTBTC,SELL,0.000512,10.05,0.0051456,0.00000515,BTC
2018-02-05 02:47:42,SALTBTC,BUY,0.000514,10.07,0.00517598,0.01007,SALT
2018-02-05 02:30:47,XRPBTC,BUY,0.00009882,100,0.009882,0.1,XRP
2018-02-05 02:25:55,ADABTC,BUY,0.00004517,100,0.004517,0.1,ADA
2018-02-05 02:14:44,LTCBTC,SELL,0.018017,0.98,0.01765666,0.00001766,BTC
2018-01-29 01:21:02,XRPBTC,BUY,0.00011301,41,0.00463341,0.041,XRP
2018-01-29 01:17:17,ADABTC,BUY,0.0000536,51,0.0027336,0.051,ADA
2018-01-29 01:16:10,LTCBTC,SELL,0.01632,0.54,0.0088128,0.00000881,BTC
2018-01-21 04:18:37,ADABTC,BUY,0.00005395,50,0.0026975,0.05,ADA
2018-01-20 18:29:04,XRPBTC,BUY,0.00012358,60,0.0074148,0.06,XRP
2018-01-20 18:27:01,LTCBTC,SELL,0.01643,0.49,0.0080507,0.00000805,BTC
2018-01-20 17:46:13,ADABTC,BUY,0.00005569,100,0.005569,0.1,ADA
2018-01-20 17:45:33,LTCBTC,SELL,0.016301,0.5,0.0081505,0.00000815,BTC
